Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,release_year,Processor Series
"Lenovo ThinkBook 14s Yoga G2 IAP Intel Core i5-1235U/8GB/256GB SSD/14"" Táctil",New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,14.0,Yes,1163.02,2022,U
"ASUS F1500EA-BQ3074W Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i3,8,512,SSD,,15.6,No,499.0,2021,G
"ASUS P1512CEA-EJ0213X Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,256,SSD,,15.6,No,609.0,2021,G
"ASUS VivoBook Flip TP470EA-EC402W Intel Core i5-1135G7/8GB/512GB SSD/14"" Táctil",New,Asus,VivoBook,Intel Core i5,8,512,SSD,,14.0,Yes,899.0,2021,G
"Lenovo IdeaPad 5 Pro 14ITL6 Intel Core i7-1165G7/8GB/512GB SSD/14""",New,Lenovo,IdeaPad,Intel Core i7,8,512,SSD,,14.0,No,999.0,2021,G
"MSI Stealth 14 Studio A13VG-047XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/14""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,14.0,No,2549.01,2022,H
"MSI Stealth 16 Studio A13VG-036XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,16.0,No,2599.01,2022,H
"Samsung Galaxy Book2 Pro Intel Core i7-1260P/16GB/512GB SSD/13.3""",New,Samsung,Galaxy Book,Intel Core i7,16,512,SSD,,13.3,No,1549.0,2022,P
"ASUS ExpertBook P1512CEA-EJ0084X Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i7,8,512,SSD,,15.6,No,849.0,2021,G
"MSI Modern 14 C12M-030XES Intel Core i5-1235U/16GB/512GB SSD/14""",New,MSI,Modern,Intel Core i5,16,512,SSD,,14.0,No,699.0,2021,U
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,256,SSD,,15.6,No,345.0,2021,G
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,8,256,SSD,,13.3,No,1619.0,2021,Unknown
"ASUS TUF Gaming F15 FX507ZU4-LP040 Intel Core i7-12700H/16GB/512GB SSD/RTX 4050/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 4050,15.6,No,1519.01,2022,H
"Acer Nitro 5 AN515-45-R6CN AMD Ryzen 7 5800H/32GB/1TB SSD/RTX 3080/15.6""",New,Acer,Nitro,AMD Ryzen 7,32,1000,SSD,RTX 3080,15.6,No,2299.0,2021,H
"Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3060/17.3""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,17.3,No,3099.99,2022,H
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,512,SSD,,15.6,No,479.0,2021,G
"HP 250 G9 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,250,Intel Core i5,16,512,SSD,,15.6,No,629.01,2022,U
"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,,15.6,No,475.0,2021,U
"ASUS TUF Gaming F15 FX507ZV4-LP047 Intel Core i7-12700H/16GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799.0,2022,H
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,256,SSD,,15.6,No,449.0,2021,G
"Acer Nitro 5 AN515-47-R6UV AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 3050Ti/15.6""",New,Acer,Nitro,AMD Ryzen 7,16,1000,SSD,RTX 3050,15.6,No,1299.01,2023,H
"ASUS TUF Gaming F15 FX507ZV4-LP004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1999.0,2022,H
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Midnight",New,Apple,MacBook Air,Apple M2,8,256,SSD,,13.6,No,1519.0,2021,Unknown
"HP ChromeBook 14a-na1006ns Intel Celeron N4500/4GB/64GB eMMC/14""",New,HP,Chromebook,Intel Celeron,4,64,eMMC,,14.0,No,379.0,Unknown,Unknown
"MSI Creator Z16 HX Studio B13VFTO-034ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4060,16.0,Yes,2729.01,2022,H
"Medion Erazer Crawler E30 Intel Core i5-12450H/16GB/512GB SSD/RTX 3050 Ti/15.6""",New,Medion,Erazer,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,859.0,2022,H
"LG Gram 17Z90Q Intel Evo Core i7-1260P/32GB/1TB SSD/17""",New,LG,Gram,Intel Evo Core i7,32,1000,SSD,,17.0,No,1809.01,2022,P
"MSI Pulse 17 B13VFK-072XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/17.3""",New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,1899.0,2022,H
"HP 255 G8 AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,255,AMD Ryzen 3,8,512,SSD,,15.6,No,388.0,2021,U
"Lenovo V15 G2 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,8,256,SSD,,15.6,No,499.0,2021,G
"Lenovo IdeaPad Gaming 3 15ACH6-381 AMD Ryzen 5 5600H/8GB/512GB SSD/RTX3050/15.6"" (PT)",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,944.82,2021,H
"ASUS ROG Strix G16 G614JZ-N3008 Intel Core i7-13650HX/32GB/1TB/RTX 4080/16""",New,Asus,ROG,Intel Core i7,32,1000,,RTX 4080,16.0,No,2599.01,2023,H
"ASUS VivoBook 15 F1500EA-EJ3069W Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,16,512,SSD,,15.6,No,909.0,2021,G
"MSI Summit E13 Flip Evo A13MT-228ES Intel Evo Core i7-1360P/16GB/1TB SSD/13.4"" Táctil",New,MSI,Summit,Intel Evo Core i7,16,1000,SSD,,13.4,Yes,1799.0,2022,P
"ASUS E410MA-EK1928WS Intel Celeron N4020/4GB/64GB eMMC/14""",New,Asus,E410,Intel Celeron,4,64,eMMC,,14.0,No,452.0,Unknown,Unknown
"HP Pavilion 14-dv2004ns Intel Core i5-1235U/16GB/512GB SSD/14""",New,HP,Pavilion,Intel Core i5,16,512,SSD,,14.0,No,899.01,2022,U
"LG Ultra PC 17U70Q-P.AA78B Intel Core i7-1260P/16GB/1TB SSD/RTX 3050Ti/17""",New,LG,Ultra,Intel Core i7,16,1000,SSD,RTX 3050,17.0,No,1999.0,2022,P
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1029.01,2022,H
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,8,512,SSD,,15.6,No,509.0,2021,G
"Lenovo V15 G2 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,8,512,SSD,,15.6,No,442.99,2021,U
"MSI Creator Z16 HX Studio B13VETO-047XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16.0,Yes,2499.0,2022,H
"Samsung Galaxy Book2 Intel Core i5-1235U/8GB/256GB SSD/15.6"" Negro",New,Samsung,Galaxy Book,Intel Core i5,8,256,SSD,,15.6,No,849.0,2022,U
"Dell Vostro 3510 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",New,Dell,Vostro,Intel Core i5,8,256,SSD,,15.6,No,690.15,2021,G
"ASUS ExpertBook B3 Flip B3402FBA-EC0434X Intel Core i5-1235U/8GB/256GB SSD/14"" Táctil",New,Asus,ExpertBook,Intel Core i5,8,256,SSD,,14.0,Yes,1179.0,2022,U
"ASUS TUF Gaming A17 FA707XI-HX019 AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4070/17.3""",New,Asus,TUF,AMD Ryzen 9,32,1000,SSD,RTX 4070,17.3,No,1899.01,2023,H
HP Victus 16-d1040ns Intel Core i7-12700H/32GB/512GB SSD/RTX 3060/16.1'',New,HP,Victus,Intel Core i7,32,512,SSD,RTX 3060,16.1,No,1499.01,2022,H
"Asus TUF Gaming A15 FA507RR-HQ008 AMD Ryzen 7 6800H/32GB/1TB SSD/RTX 3070/15.6""",New,Asus,TUF,AMD Ryzen 7,32,1000,SSD,RTX 3070,15.6,No,1889.0,2022,H
"Apple Macbook Air Apple M2/8GB/512GB SSD/GPU Deca Core/13.6"" Blanco Estrella",New,Apple,MacBook Air,Apple M2,8,512,SSD,,13.6,No,1869.0,2021,Unknown
"Lenovo ThinkPad E15 Gen 4 AMD Ryzen 7 5825U/16GB/512GB SSD/15.6""",New,Lenovo,ThinkPad,AMD Ryzen 7,16,512,SSD,,15.6,No,1129.0,2021,U
"MSI Prestige 13 Evo A13M-068ES Intel Evo Core i7-1360P/32GB/1TB SSD/13.3""",New,MSI,Prestige,Intel Evo Core i7,32,1000,SSD,,13.3,No,1599.0,2022,P
"Lenovo Chromebook IdeaPad 3 CB 14IGL05 Intel Celeron N4020/8GB/64GB eMMC/14""",New,Lenovo,IdeaPad,Intel Celeron,8,64,eMMC,,14.0,No,391.0,2019,Unknown
"HP ProBook 650 G8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,HP,ProBook,Intel Core i5,8,256,SSD,,15.6,No,709.0,2021,G
"Dell Vostro 3520 Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,Dell,Vostro,Intel Core i7,16,512,SSD,,15.6,No,889.0,2022,U
"ASUS ROG Zephyrus G16 2023 GU603VI-N4006 Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,2599.0,2023,H
"MSI Modern 15 B5M-017XES AMD Ryzen 7 5825U/16GB/512GB SSD/15.6""",New,MSI,Modern,AMD Ryzen 7,16,512,SSD,,15.6,No,899.0,2021,U
"HP OMEN 16-n0012ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1399.0,2022,H
"HP ChromeBook 14a-na1009ns Intel Pentium Silver N6000/8GB/128GB eMMC/14""",New,HP,Chromebook,Intel Pentium,8,128,eMMC,,14.0,No,458.99,Unknown,Unknown
"MSI Creator Z17 HX Studio A13VFT-048ES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/17"" Táctil",New,MSI,Creator,Intel Core i9,32,1000,SSD,RTX 4060,17.0,Yes,2979.01,2022,H
"MSI Prestige 14 Evo B13M-276ES Intel Evo Core i7-13700H/16GB/512GB SSD/14""",New,MSI,Prestige,Intel Evo Core i7,16,512,SSD,,14.0,No,1399.0,2022,H
"HP Pavilion Plus 14-eh0008ns Intel Core i7-1255U/16GB/512GB SSD/RTX 2050/14""",New,HP,Pavilion,Intel Core i7,16,512,SSD,RTX 2050,14.0,No,1729.01,2022,U
"Acer Aspire 3 A314-36P-30XR Intel Core i3-N305/8GB/512GB SSD/14""",New,Acer,Aspire,Intel Core i3,8,512,SSD,,14.0,No,599.0,Unknown,Unknown
"MSI Raider GE68HX 13VF-046XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2499.0,2022,H
"Apple Macbook Air 2023 Apple M2/8GB/256GB SSD/GPU Deca Core/15.3"" Gris Espacial",New,Apple,MacBook Air,Apple M2,8,256,SSD,,15.3,No,1599.0,2021,Unknown
"ASUS ROG Strix Scar 16 2023 G634JY-N4013 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4090/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,16.0,No,3699.01,2023,H
"Acer Extensa 15 EX215-54-51BK Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Acer,Extensa,Intel Core i5,8,512,SSD,,15.6,No,450.0,2021,G
"Acer Aspire 3 A315-58-77EL Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i7,16,512,SSD,,15.6,No,749.0,2021,G
"Apple MacBook Pro Apple M2 Pro 10 Núcleos/16GB/512GB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,16,512,SSD,,14.2,No,2209.0,2021,Unknown
"MSI Creator M16 B12UDX-688XES Intel Core i7-12650H/16GB/512GB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,512,SSD,RTX 3050,16.0,No,1399.0,2021,H
"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/8 GB/256 GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,8,256,SSD,,15.6,No,449.0,2021,U
"Alurin Flex Intel Core i3-10110U/8GB/512GB SSD/nOS/14""",New,Alurin,Flex,Intel Core i3,8,512,SSD,,14.0,No,449.9,2011,U
"Apple Macbook Air Apple M2/8GB/512GB SSD/GPU Deca Core/13.6"" Gris Espacial",New,Apple,MacBook Air,Apple M2,8,512,SSD,,13.6,No,1869.0,2021,Unknown
"ASUS Chromebook Flip CM1 CM1400FXA-EC0109 3015Ce/8GB/64GB eMMC/14"" Táctil",New,Asus,Chromebook,Apple M1,8,64,eMMC,,14.0,Yes,449.01,,Unknown
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,512,SSD,,15.6,No,419.0,2021,G
